Date,Value
2017-08-31,3026.0
2017-07-31,3041.0
2017-06-30,3055.0
2017-05-31,3067.0
2017-04-30,3084.0
2017-03-31,3084.0
2017-02-28,3080.0
2017-01-31,3072.0
2016-12-31,3080.0
2016-11-30,3085.0
2016-10-31,3081.0
2016-09-30,3082.0
2016-08-31,3080.0
2016-07-31,3065.0
2016-06-30,3045.0
2016-05-31,3007.0
2016-04-30,2927.0
2016-03-31,2904.0
2016-02-29,2905.0
2016-01-31,2965.0
2015-12-31,2983.0
2015-11-30,2998.0
2015-10-31,2979.0
2015-09-30,2962.0
2015-08-31,2950.0
2015-07-31,2929.0
2015-06-30,2904.0
2015-05-31,2892.0
2015-04-30,2889.0
2015-03-31,2874.0
2015-02-28,2855.0
2015-01-31,2841.0
2014-12-31,2841.0
2014-11-30,2836.0
2014-10-31,2831.0
2014-09-30,2827.0
2014-08-31,2823.0
2014-07-31,2809.0
2014-06-30,2796.0
2014-05-31,2776.0
2014-04-30,2775.0
2014-03-31,2789.0
2014-02-28,2810.0
2014-01-31,2807.0
2013-12-31,2802.0
2013-11-30,2807.0
2013-10-31,2813.0
2013-09-30,2817.0
2013-08-31,2803.0
2013-07-31,2770.0
2013-06-30,2734.0
2013-05-31,2716.0
2013-04-30,2726.0
2013-03-31,2748.0
2013-02-28,2777.0
2013-01-31,2797.0
2012-12-31,2808.0
2012-11-30,2794.0
2012-10-31,2765.0
2012-09-30,2753.0
2012-08-31,2761.0
2012-07-31,2781.0
2012-06-30,2807.0
2012-05-31,2825.0
2012-04-30,2827.0
2012-03-31,2802.0
2012-02-29,2757.0
2012-01-31,2699.0
2011-12-31,2652.0
2011-11-30,2609.0
2011-10-31,2578.0
2011-09-30,2572.0
2011-08-31,2579.0
2011-07-31,2600.0
2011-06-30,2630.0
2011-05-31,2658.0
2011-04-30,2669.0
2011-03-31,2646.0
2011-02-28,2606.0
2011-01-31,2559.0
2010-12-31,2529.0
2010-11-30,2524.0
